Series,Code
Current Account Debits Bazil : SA:£m,EQR7
Current Account Debits China : SA:£m,EQR8
Current Account Debits Hong Kong : SA:£m,EQR9
Current Account Debits India : SA:£m,EQS2
Current Account Debits Russia : SA:£m,EQS3
Current Account Balance Brazil : SA:£m,EQS4
Current Account Balance China : SA:£m,EQS5
Current Account Balance Hong Kong : SA:£m,EQS6
Current Account Balance India : SA:£m,EQS7
Current Account Balance Russia : SA:£m,EQS8
Trade in Goods: Hong Kong: Total: Exports: BOP: CP: SA,ERDG
Trade in Goods: India: Total: Exports: BOP: CP: SA,ERDJ
Trade in Goods: China: Total: Exports: BOP: CP: SA,ERDN
Trade in Goods: Russia: Total: Exports: BOP: CP: SA,ERDQ
Trade in Goods: Hong Kong: Total: Imports: BOP: CP: SA,ERDS
Trade in Goods: India: Total: Imports: BOP: CP: SA,ERDV
Trade in Goods: China: Total: Imports: BOP: CP: SA,ERDZ
Trade in Goods: Russia: Total: Imports: BOP: CP: SA,EREC
Trade in Goods: Hong Kong: Total: Balance: BOP: CP: SA,EREE
Trade in Goods: India: Total: Balance: BOP: CP: SA,EREH
Trade in Goods: China: Total: Balance: BOP: CP: SA,EREL
Trade in Goods: Russia: Total: Balance: BOP: CP: SA,EREO
Secondary Income: Exports/Credits: Brazil SA,EVP7
Secondary Income: Exports/Credits: China SA,EVP8
Secondary Income: Exports/Credits: Hong Kong SA,EVP9
Secondary Income: Exports/Credits: India SA,EVQ2
Secondary Income: Exports/Credits: Russia SA,EVQ3
Trade in Goods and Services (replaces 1.A): Exports/Credits: Brazil SA,EVQ4
Trade in Goods and Services (replaces 1.A): Exports/Credits: China SA,EVQ5
Trade in Goods and Services (replaces 1.A): Exports/Credits: Hong Kong SA,EVQ6
Trade in Goods and Services (replaces 1.A): Exports/Credits: India SA,EVQ7
Trade in Goods and Services (replaces 1.A): Exports/Credits: Russia SA,EVQ8
Trade in Services(replaces 1.A.B): Exports/Credits: Brazil SA,EVQ9
Trade in Services(replaces 1.A.B): Exports/Credits: China SA,EVR2
Trade in Services(replaces 1.A.B): Exports/Credits: Hong Kong SA,EVR3
Trade in Services(replaces 1.A.B): Exports/Credits: India SA,EVR4
Trade in Services(replaces 1.A.B): Exports/Credits: Russia SA,EVR5
Secondary Income: Imports/Debits: Brazil SA,EVS3
Secondary Income: Imports/Debits: China SA,EVS4
Secondary Income: Imports/Debits: Hong Kong SA,EVS5
Secondary Income: Imports/Debits: India SA,EVS6
Secondary Income: Imports/Debits: Russia SA,EVS7
Trade in Goods and Services (replaces 1.A): Imports/Debits: Brazil SA,EVS8
Trade in Goods and Services (replaces 1.A): Imports/Debits: China SA,EVS9
Trade in Goods and Services (replaces 1.A): Imports/Debits: Hong Kong SA,EVT2
Trade in Goods and Services (replaces 1.A): Imports/Debits: India SA,EVT3
Trade in Goods and Services (replaces 1.A): Imports/Debits: Russia SA,EVT4
Trade in Services(replaces 1.A.B): Imports/Debits: Brazil SA,EVT5
Trade in Services(replaces 1.A.B): Imports/Debits: China SA,EVT6
Trade in Services(replaces 1.A.B): Imports/Debits: Hong Kong SA,EVT7
Trade in Services(replaces 1.A.B): Imports/Debits: India SA,EVT8
Trade in Services(replaces 1.A.B): Imports/Debits: Russia SA,EVT9
Secondary Income: Balance/Net: Brazil SA,EVU7
Secondary Income: Balance/Net: China SA,EVU8
Secondary Income: Balance/Net: Hong Kong SA,EVU9
Secondary income: Balance/Net: India SA,EVV2
Secondary Income: Balance/Net: Russia SA,EVV3
Trade in Goods and Services (replaces 1.A): Balance/Net: Brazil SA,EVV4
Trade in Goods and Services (replaces 1.A): Balance/Net: China SA,EVV5
Trade in Goods and Services (replaces 1.A): Balance/Net: Hong Kong SA,EVV6
Trade in Goods and Services (replaces 1.A): Balance/Net: India SA,EVV7
Trade in Goods and Services (replaces 1.A): Balance/Net: Russia SA,EVV8
Trade in Services(replaces 1.A.B): Balance/Net: Brazil SA,EVV9
Trade in Services(replaces 1.A.B): Balance/Net: China SA,EVW2
Trade in Services(replaces 1.A.B): Balance/Net: Hong Kong SA,EVW3
Trade in Services(replaces 1.A.B): Balance/Net: India SA,EVW4
Trade in Services(replaces 1.A.B): Balance/Net: Russia SA,EVW5
FA: F423 PR asset: flow: Finance Leasing incl PFI/PPP: Total £m CP NSA,F8Y9
FA: F.423 PR asset: level: Finance Leasing incl PFI/PPP: Total £m CP NSA,F8YG
Public Corporations: Distributed income of corporations: D.42: CP NSA,FACT
resource : industrial & commercial companies:Total: D.4: CP NSA,FACV
Change in Inventories: Mining & Quarrying: £M: CVM: NSA,FADO
"Change in Inventories: Electricity, Gas & Water: £M: CVM: NSA",FADP
Change in Inventories: Mining & Quarrying: £M: CVM NAYear: SA £m,FAEA
"Change in Inventories: Electricity, Gas & Water: £M: CVM NAYear: SA £m",FAEB
Change in Inventories: Wholesale: £M: CVM NAYear: NSA,FAJM
Change in Inventories: Wholesale: £M: CVM NAYear: SA £m,FAJX
Non-financial corporations sector (S11): Property income (D.4): Resource: Current price: £million: Not seasonally adjusted,FAKY
Non-financial corporations sector (S11): Other investment income (D.44): Resource: Current price: £m: Not seasonally adjusted,FAOF
Non-financial corporations sector (S11): Rent (D.45): Resource: Current price: £million: Not seasonally adjusted,FAOG
Private non-financial corporations sector (S.11002+S.11003): Rent (D.45) Resources: £million Current price Not seasonally adjusted,FAOL
Public corporations: Resources: Total: D.4: CP NSA,FAOP
Public Corporations:Property income attributed to insurance policy holders:CPNSA,FAOT
Public Corporations: Total Resources: CP NSA,FAOU
Public corporations: D.4: Total: CP NSA: £m,FAOV
Public corporations: Resources: D.45: RENT CP NSA,FAOZ
Trade in Services (TS): Travel: WW: Exports: BOP: CP: SA: £m,FAPO
"Change in Inventories: Manufacturing: Materials, Stores & Fuel: £M: CVM: NSA",FBID
Change in Inventories: Manufacturing: Work in Progress: £M: CVM: NSA,FBIE
Change in Inventories: Manufacturing: Finished Goods: £M: CVM: NSA,FBIF
"Change in Inventories: Manufacturing: Materials, Stores & Fuel: £M: CVM: SA £m",FBNF
Change in Inventories: Manufacturing: Work in Progress: £M: CVM: SA £m,FBNG
Change in Inventories: Manufacturing: Finished Goods: £M: CVM: SA £m,FBNH
Non-financial corps sector (S.11): Total resources/uses allocation of primary income account (T.II.1.2): Current price: £m: NSA,FBXJ
Non-financial corporations sector (S11): Property income (D.4): Use: Current price: £million: Not seasonally adjusted,FBXK
Non-financial corporations sector (S11): Rent (D.45): Use: Current price: £million: Not seasonally adjusted,FBXO
Change in Inventories: Retail: £M: CVM NAYear: NSA,FBYH
Change in Inventories: Retail: £M: CVM NAYear: SA £m,FBYN
Non-financial corporations sector (S11): Non-life insurance claims (D.72): Resource: Current price: £m: Not seasonally adjusted,FCBP
Non-financial corps sector (S.11): Total resources/uses secondary distribution of income account (T.II.2): Current price: £m: NSA,FCBR
Non-financial corporations sector (S11): Taxes on income (D.51): Use: Current price: £million: Not seasonally adjusted,FCBS
Non-financial corporations sector (S11): Other current transfers (D.7): Use: Current price: £million: Not seasonally adjusted,FCBX
Non-financial corporations sector (S11): Net non-life insurance premiums (D.71): Use: Current price: £m: Not seasonally adjusted,FCBY
Public corporations: Gross fixed capital formation: P.51: CP NSA,FCCJ
use : industrial & commercial companies: D.7: CP NSA,FCCN
"Non-financial corporations sector (S11): Investment grants, receivable (D.92r): Current price: £million: Not seasonally adjusted",FCCO
Private Non Financial Corporations: Taxes on Income: D.51: CP NSA,FCCP
"Non-financial corporations sector (S11): Capital transfers, receivable (D.9r): Current price: £million: Not seasonally adjusted",FCCQ
Public Corporations payments of tax on income: D.51: CP NSA,FCCS
Non-Fin Corp (S11): Changes in net worth due to gross saving and capital transfers (B.101g): Current price: £m: NSA,FCCY
Non-financial corporations sector (S11): Gross capital formation (P.5): Current price: £million: Not seasonally adjusted,FCCZ
FC: IPNL: Prim inc:Res: Counterparty of uses Private corporations D.44: CP NSA,FCFP
PNFC II.1.2 Total resources £m cp nsa,FCFQ
use: industrial & commercial companies: D.4: CP NSA,FCFR
Private non-financial corporations (S.1102+S.11003): Rent (D.45): Uses: Current price: £million: Not seasonally adjusted,FCFU
PNFC: capital transfers payable (D.9 uses): £m: CP: NSA,FCFX
Non-Fin Corp (S11): Acquisition less disposals of non-produced / non-financial assets (NP): Current price: £million: NSA,FCFY
FC: IPNL:Sec inc: Res: Counterparty of uses Private corporations: D.72:CP NSA,FDBA
PNFC II.2 Total resources £m cp nsa,FDBC
FC: IPNL: Sec inc: Uses: D.71: Counterparty of res Public corps: CP NSA,FDBH
Use: industrial & commercial companies: P.51: CP NSA,FDBM
Public Corporations: D.9: Total: CP NSA,FDBU
Public Corporations: Investment grants: Receipts: CP NSA,FDBV
Uses : industrial & commercial companies: P.5: CP NSA,FDCL
Uses : industrial & commercial companies:K.2: CP NSA,FDCN
DIM: Local authorities dividend receipts,FDDA
FC: IPNL:Sec inc:Res:Counterparty of uses Public corporations D.72: CP NSA,FDDF
Public Corporations - account 40 - total resources: CP NSA,FDDH
PC: Uses: D.7 Current transfers other than taxes,FDDL
FC: IPNL: Sec inc: Uses: D.71: Counterparty of res Public corporations,FDDM
Public Corporations: total change in liabilities and net worth: B10.1g: CP NSA,FDEG
Public corporations: P.5: CP NSA,FDEH
Public corporations:K.2: CP NSA,FDEJ
D.7 Secondary Distn of income total resources Public Corporations,FDEK
DIM: LA dividend receipts - seasonally adjusted,FDFS
Trade in Services (TS): Construction Services: WW: Exports: BOP: CP: SA: £m,FDSG
Trade in Services (TS): Insurance and Pension Services: WW: Exports: BOP: CP: SA: £m,FDTF
Trade in Services (TS): Financial Services: WW: Exports: BOP: CP: SA: £m,FDYI
"Trade in Services (TS): Telecoms, Computer and Information Services: WW: Exports: BOP: CP: SA: £m",FDYQ
Trade in Services (TS): Intellectual Property Services: WW: Exports: BOP: CP: SA: £m,FEBA
Trade in Services (TS): Other Business Services: WW: Exports: BOP: CP: SA: £m,FEHH
"Trade in Services (TS): Personal, Cultural & Recreational Services: WW: Exports: BOP: CP: SA: £m",FGXJ
"Trade in Services (TS): Government Services, n.i.e: WW: Exports: BOP: CP: SA: £m",FGZA
Secondary Income : General Government: Exports: £M: CP: SA,FHDM
Secondary Income: Other Sectors: Exports: £M: CP: SA,FHIB
Capital Transfers (Credits) Total: CP SA: £m,FHIT
General Government Transfers (Credits) Total: CP SA: £m,FHIU
Government Debt Forgiveness (Credits) Total: CP SA: £m,FHIV
Government Other Transfers (Credits) Total: CP SA: £m,FHJA
Other Sectors Transfers (Credits) Total: CP SA: £m,FHJB
Other Sectors Debt Forgiveness (Credits) Total: CP SA,FHJD
Other Sectors: Other Transfers: (Credits) Some of Agri Guidance Fund [Treas],FHJF
Acquisitions/Disposals of NPNF Assets (Credits) Total: CP SA: £m,FHJL
Capital Account (Credits) Total: CP SA: £m,FHLD
Resources: Imports Duties Total: D.2121:CP SA,FHLF
Resources: Taxes on Imports Excl VAT & Duties Total: D.2122: CP SA,FHLG
Resources: Taxes on Products Excl VAT & Import Duties Total: D.214: CP SA,FHLH
ESA95 D.39 (Uses) Other Subsidies on Production (UK Debits) Total CP SA,FHLK
Resources: Taxes on Income Total: D.51: CP SA,FHLL
Res: Social Benefits other than Social Transfers in Kind Total: D.62: CP,FHLQ
Resources: Non-Life Insurance Claims Total: D.72: CP SA,FHLS
Resources: Current International Cooperation Total: D.74: CP SA,FHLT
Resources: Miscellaneous Current Transfers Total:D.75 CP SA,FHLU
Resources: Investment Grants Total D.92: CP SA,FHLW
Resources: Other Capital Transfers Total: D.99: CP SA,FHLX
Trade in Services (TS): Transport: WW: Imports: BOP: CP: SA: £m,FHME
Trade in Services (TS): Construction Services: WW: Imports: BOP: CP: SA: £m,FIOU
Trade in Services (TS): Insurance and Pension Services: WW: Imports: BOP: CP: SA: £m,FIPT
Trade in Services (TS): Financial Services: WW: Imports: BOP: CP: SA: £m,FITY
"Trade in Services (TS): Telecoms, Computer and Information Services: WW: Imports: BOP: CP: SA: £m",FIUG
Trade in Services (TS): Intellectual Property Services: WW: Imports: BOP: CP: SA: £m,FIVX
Trade in Services (TS): Other Business Services: WW: Imports: BOP: CP: SA: £m,FIWF
"Resources: Rest of the World Social Benefits other than Social.., D.62 CP NSA",FJKO
Resources: Rest of the World Net Non-Life Insurance Premiums: D.71: CP NSA,FJKS
Capital Transfers (Credits): Other General Government Total: CP NSA: £m,FJLY
Capital Transfers (Debits): Other General Government Total: CP NSA: £m,FJMB
Capital Transfers: Other General Government Balance: CP NSA: £m,FJMC
Capital Transfers (Credits): General Government Total: CP NSA: £m,FJMD
Capital Transfers (Debits): General Government Total: CP NSA: £m,FJME
Capital Transfers: General Government Balance: CP NSA: £m,FJMF
Capital Transfers (Debits): Other Sectors Other Transfers Total: CP NSA: £m,FJMS
Capital Transfers: Other Sectors Other Transfers Balance: CP NSA: £m,FJMT
Capital Transfers (Credits): Other Sectors Total: CP NSA: £m,FJMU
Capital Transfers (Debits): Other Sectors Total: CP NSA: £m,FJMV
Capital Transfers: Other Sectors Balance: CP NSA: £m,FJMW
Capital Transfers (Credits): Total: CP NSA: £m,FJMX
Cpaital Transfers (Debits): Total: CP NSA: £m,FJMY
Capital Transfers: Balance: CP NSA: £m,FJMZ
Capital Transfers (Credits): Other Sectors Debt Forgiveness Total: CP NSA: £m,FJNC
Capital Transfers (Debits): MFI's Debt Forgiveness Total: CP NSA: £m,FJNF
Capital Transfers: Other Sectors Debt Forgiveness Balance: CP NSA: £m,FJNG
BoP: Trade in Services (Exports)(BoP:): Transport Total: CP NSA: £m,FJOD
BoP: Trade in Services (Exports): Travel Total: CP NSA: £m,FJPF
BoP: Trade in Services (Exports): Construction Services Total: CP NSA: £m,FJPI
BoP: Trade in Services (Exports): Insurance & Pension Services Total: CP NSA:£m,FJPJ
BoP: Trade in Services (Exports): Financial Services Total: CP NSA: £m,FJPK
BoP: TiS (Ex): Telecomms Computer & Info Services Total: CP NSA: £m,FJPL
BoP: Trade in Services (Exports): Intellectual Property ServicesTotal: CP NSA:£m,FJPM
BoP: Trade in Services (Exports): Other Business Services Total: CP NSA: £m,FJPN
"BoP: Trade in Services(Exports): Personal,Cultural & Recreation: CP NSA",FJPR
BoP: Trade in Services (Exports): Government Services Total: CP NSA: £m,FJPU
BoP: Trade in Services (Imports): Transport Total: CP NSA: £m,FJPV
BoP: Trade in Services (Imports): Construction Services Total: CP NSA: £m,FJRA
BoP: Trade in Services (IM): Insurance and Pension Services Total: CP NSA: £m,FJRB
BoP: Trade in Services (Imports): Financial Total: CP NSA: £m,FJRE
BoP: Trade in Services (Imports): Telecoms Computer & Info. Total: CP NSA: £m,FJRF
BoP: Trade in Services (Imports): Intellectual Property Serv Total: CP NSA: £m,FJRG
BoP: Trade in Services (Imports): Other Business Total: CP NSA: £m,FJRH
"BoP: Trade in Services (Imports): Personal,Cultural& Recreation: CP NSA",FJRL
BoP: Trade in Services (Imports): Government Services Total: CP NSA: £m,FJRO
BoP: Trade in Services (BoP: Transport Balance: CP NSA: £m,FJRP
BoP: Trade in Services (BoP:): Travel Balance: CP NSA: £m,FJSR
BoP: Trade in Services (BoP:): Construction Services Balance: CP NSA: £m,FJSU
BoP: Trade in Services (BoP:): Insurance and Pension Services Balance: CP NSA:£m,FJSV
BoP: Trade in Services (BoP:): Financial Services Balance: CP NSA: £m,FJTA
"BoP: TiS: Telecomms ,Computer & Information Services Balance: CP NSA: £m",FJTB
BoP: Trade in Services (BoP:): Intellectual Property Services Balance: CP NSA:£m,FJTC
BoP: Trade in Services (BoP:): Other Business Services Balance: CP NSA: £m,FJTD
"BoP: Trade in Services: Personal,Cultural& Recreaction Balance: CPNSA: £m",FJTH
Uses: Rest of the World: Non-Life Insurance Claims: D.72: CP NSA,FJTT
BoP: Trade in Services (BoP:): Government Services Balance: CP NSA: £m,FJUL
Secondary Income: General Government: Exports: £M: CP: NSA,FJUM
Secondary Income: Other Sectors: Exports: £M: CP: NSA,FJUN
Secondary Income: General Government: Imports: £M: CP: NSA,FJUO
Secondary Income: Other Sectors: Imports: £M: CP: NSA,FJUP
Secondary Income: General Government: Balance: £M: CP: NSA,FJUQ
Secondary Income: Other Sectors: Balance: £M: CP: NSA,FJUR
Capital Transfers (Credits): Debt Forgiveness Total: CP NSA: £m,FJUU
Capital Transfers (Debits): Debt Forgiveness Total: CP NSA: £m,FJUV
Capital Transfers: Debt Forgiveness Balance: CP NSA: £m,FJUW
Disposals (Credits) (BPM6/ESA10): Total: CP NSA: £m,FJUX
Aquisition (Debits) (BPM6/ESA10): Total: CP NSA: £m,FJUY
"D.2 (Uses): ROW Taxes on Production and Imports, CPNSA",FJVM
"ESA10 D.2121 (Uses): ROW Import Duties, CPNSA",FJVQ
"ESA10 D.2122 (Uses): ROW Taxes on Imports Excl. VAT & Duties, CPNSA",FJVR
"ESA10 D.214 (Uses): ROW Taxes on Products Excl. VAT & Import Duties, CPNSA",FJVS
Rest of the world (S.2): Net social contributions (D.61): Uses: Current price: £million: Not seasonally adjusted,FJVU
Uses: Rest of the World: Current International Cooperation: D.74 CP NSA,FJWA
Resources: Rest of the World Taxes on Production and Imports: D.2: CP NSA,FJWB
Resources: Rest of the World Taxes & Duties on Imports Excl. VAT: D.212 CP NSA,FJWD
Resources: Rest of the World Import Duties: D.2121: CP NSA,FJWE
Res: Rest of the World Taxes on Imports Excl. VAT & Duties: D.2122:CP NSA,FJWF
Res: Rest of the World Taxes on Products Excl.VAT & Import Duties: D.214:CPNSA,FJWG
Resources: Rest of the World Less Subsidies paid by RW (UK Credits): D.3: CP NSA,FJWI
Res: Rest of the World Less Subsidies on Products (UK Credits):D.31:CP NSA,FJWJ
Resources: Rest of the World Taxes on Income: D.51: CP NSA,FJWM
"ESA10 D.61 (Resources): ROW Social Contributions, CPNSA",FJWN
"ESA10 D.7 (Resources): ROW Other Current Transfers, CPNSA",FJWR
Resources: Rest of the World Current International Cooperation: D.74: CP NSA,FJWT
Resources: Rest of the World Miscellaneous Current Transfers: D.75 CP NSA,FJWU
Capital Transfers (Credits): Agricultural Guidance Fund: CP NSA: £m,FJXL
Secondary Income (Credits) Other EU Receipts: CP NSA,FKIJ
Secondary Income (Balance) Total of which EU Institutions,FKIS
Pink Book: Table 8.1 Capital Account (Credits) Regional Development Fund: £m,FKIT
Capital Account(Credits)Total of which EU Institutions: CP NSA,FKIV
Secondary Income (Credits) Govt Other Transfers [Abatement]: CP NSA,FKKL
Secondary Income (Credits) Govt Other Transfers [Abatement]: CP SA,FKKM
Capital Account (Credits): Total: CP NSA: £m,FKMH
Capital Account (Debits): Total: £m,FKMI
Capital Account: Balance: CP NSA,FKMJ
Trade in Goods: Brazil: Total: Exports: BOP: CP: SA,FKMO
Trade in Goods: Brazil: Total: Imports: BOP: CP: SA,FKMP
Trade in Goods: Brazil: Total: Balance: BOP: CP: SA,FKMQ
ESA95 D.2121 (Uses) Import Duties Total CP SA,FKNC
ESA95 D.2122 (Uses) Taxes on Imports Excl VAT & Duties Total CP SA,FKND
ESA95 D.214 (Uses) Taxes on Products Excl VAT & Import Duties Total CP SA,FKNE
Resources: Less Subsidies on Products (UK Credits) Total: D.31: CP SA,FKNG
Uses: Taxes on Income Total D.51 CP SA,FKNI
Uses: Net Non-LIfe Insurance Premiums Total: D.71 CP SA,FKNN
Uses: Current International Cooperation Total: D.74: CP SA,FKNP
Uses: Miscellaneous Current Transfers Total: D.75: CP SA,FKNQ
Uses: Investment Grants Total D.92: CP SA,FKNS
Uses: Other Capital Transfers Total: D.99: CP SA,FKNT
Trade in Services (TS): Transport: WW: Exports: BOP: CP: SA: £m,FKOA
Secondary Income (Credits) Central Government Other Receipts: CP NSA,FLLJ
Secondary Income (Credits) Other Sectors Other Receipts: CP NSA,FLLP
Secondary Income (Debits) Central Government Other Payments: CP NSA,FLLV
Secondary Income (Debits) Other Sectors Other Payments: CP NSA,FLMB
Secondary Income (Debits) Payments to EU institutions: CP NSA,FLMH
"Secondary Income debits, government other payments to EUI",FLMN
Secondary Income debits government other payments to EU Institutions: CP SA,FLMT
"Trade in Services (TS): Personal, Cultural & Recreational Services: WW: Imports: BOP: CP: SA: £m",FLQJ
"Trade in Services (TS): Government Services, n.i.e: WW: Imports: BOP: CP: SA: £m",FLSA
Secondary Income: General Government: Imports: £M: CP: SA,FLUD
Secondary Income: Other Sectors: Imports: £M: CP: SA,FLUZ
Capital Transfers (Debits) Total: CP SA: £m,FLWA
General Government Transfers (Debits) Total: CP SA: £m,FLWB
Government Debt Forgiveness (Debits) Total:CP SA: £m,FLWD
Government Other Transfers (Debits) Total: CP SA: £m,FLWH
Other Sectors Transfers (Debits) Total: CP SA: £m,FLWI
Other Sectors Debt Forgiveness (Debits) Total: CP SA: £m,FLWL
Other Sectors Other Transfers (Debits) Total: CP SA: £m,FLWQ
Acquisitions/Disposals of NPNF Assets (Debits) Total: CP SA: £m,FLWT
Capital Account (Debits) Total: CP SA: £m,FLYL
Trade in Services (TS): Transport: WW: Balance: BOP: CP: SA: £m,FLYS
Trade in Services (TS): Travel: WW: Balance: BOP: CP: SA: £m,FNGY
Trade in Services (TS): Construction Services: WW: Balance: BOP: CP: SA: £m,FNJM
Trade in Services (TS): Insurance and Pension Services: WW: Balance: BOP: CP: SA: £m,FNKF
Trade in Services (TS): Financial Services: WW: Balance: BOP: CP: SA: £m,FNLQ
"Trade in Services (TS): Telecoms, Computer and Information Services: WW: Balance: BOP: CP: SA: £m",FNLY
Trade in Services (TS): Intellectual Property Services: WW: Balance: BOP: CP: SA: £m,FNMR
Trade in Services (TS): Other Business Services: WW: Balance: BOP: CP: SA: £m,FNMZ
"Trade in Services (TS): Personal, Cultural & Recreational Services: WW: Balance: BOP: CP: SA: £m",FNRB
"Trade in Services (TS): Government Services, n.i.e: WW: Balance: BOP: CP: SA: £m",FNRU
BOP: General Government Transfers Balance CP SA: £m,FNSV
BOP: Other Sectors Balance CP SA: £m,FNTC
Capital Transfers Balance: CP SA: £m,FNTK
General Government Transfers Balance: CP SA: £m,FNTL
Government Debt Forgiveness Balance: CP SA: £m,FNTM
Government Other Transfers Balance: CP SA: £m,FNTN
Other Sectors Transfers Balance: CP SA: £m,FNTO
Oth Sectors Debt Forgiveness Balance: CP SA: £m,FNTQ
Other Sectors Other Transfers Balance: CP SA: £m,FNTR
Acquisitions/Disposals of NPNF Assets Balance CP SA,FNTS
BOP: Capital Account Balance CP SA: £m,FNVQ
Central government (S.1311): Other investment income (D.44): Uses: £million: Current price: Not seasonally adjusted,FTB9
"Acquisitions less disposals of valuables: Public Non-financial Corporations (S11001) CP NSA, £m",FV2S
"Acquisitions less disposals of valuables: Public Non-financial Corporations (S11001) CP SA, £m",FV2T
"Acquisitions less disposals of valuables: Local Government (S1313) CP NSA, £m",FV2U
"Acquisitions less disposals of valuables: Local Government (S1313) CP SA, £m",FV2V
"Acquisitions less disposals of valuables: Non-financial Corporations (S11) CP NSA, £m",FV2W
"Acquisitions less disposals of valuables: Non-financial Corporations (S11) CP SA, £m",FV2X
BoP IIP OI Asset level Stock Subscriptions to Multilateral Development Banks NSA £m,FV38
BoP FA OI Asset Flow Subscriptions to Multilateral Development Banks NSA £m,FV39
BoP FA OI Asset flow to EIB NSA £m,FV3A
ESA:GG:Uses: Other investment income: D.44 total - NSA,FV4N
Trade in Services(replaces 1.A.B) : Exports/Credits : Switzerland : nsa,FYVU
Trade in Services(replaces 1.A.B) : Exports/Credits : Russia : nsa,FYVY
Trade in Services(replaces 1.A.B) : Exports/Credits : Brazil : nsa,FYWC
Trade in Services(replaces 1.A.B) : Exports/Credits : Canada : nsa,FYWD
Trade in Services(replaces 1.A.B) : Exports/Credits : USA : nsa,FYWF
Trade in Services(replaces 1.A.B) : Exports/Credits : China : nsa,FYWI
Trade in Services(replaces 1.A.B) : Exports/Credits : Hong Kong : nsa,FYWJ
Trade in Services(replaces 1.A.B) : Exports/Credits : India : nsa,FYWK
Trade in Services(replaces 1.A.B) : Exports/Credits : Japan : nsa,FYWN
BOP: UK payments to EU under the withdrawal agreement : £m CPNSA,FZJ9
BOP: UK payments to EU under the withdrawal agreement : £m CPSA,FZJA
Insurance corporations and pension funds (S.128+S.129): Other UK equity (AF.519N6): Level: Asset: Current price: £million: NSA,FZM5
Financial corps except MFI and ICPF (S.124/5/6/7): Other UK equity (AF.519N6): Level: Asset: Current price: £million: NSA,FZM6
Insurance corporations and pension funds (S.128+S.129): Other UK equity (F.519N6): Flow: Asset: Current price: £million: NSA,FZM9
Financial corps except MFI and ICPF (S.124/5/6/7): Other UK equity (F.519N6): Flow: Asset: Current price: £million: NSA,FZMB
Insurance corps and pension funds (S.128/9): Short term loans by other than UK MFIs (AF.41N2): Level: Asset: CP: £million: NSA,FZNZ
Insurance corps and pension funds (S.128/9): Short term loans by other than UK MFIs (AF.41N2): Level: Liability: CP: £m: NSA,FZO5
Rest of the world (S.2): Short term loans by other than UK MFIs (AF.41N2): Level: Asset: CP: £m: Not seasonally adjusted,FZO9
Rest of the world (S.2): Short term loans by other than UK MFIs (AF.41N2): Level: Liability: CP: £m: Not seasonally adjusted,FZOF
Financial corps except MFI and ICPF (S.124/5/6/7): Short term loans by other than UK MFIs (AF.41N2): Level: Asset: CP: £m: NSA,FZOL
Financial corps except MFI and ICPF (S.124/5/6/7): Short term loans by other than UK MFIs (AF.41N2): Level: Liability: CP: £m: NSA,FZOO
Insurance corps and pension funds (S.128/9): Short term loans by other than UK MFIs (F.41N2): Flow: Asset: CP: £million: NSA,FZRC
Insurance corps and pension funds (S.128/9): Short term loans by other than UK MFIs (F.41N2): Flow: Liability: CP: £m: NSA,FZRG
Rest of the world (S.2): Short term loans by other than UK MFIs (F.41N2): Flow: Asset: Current price: £m: Not seasonally adjusted,FZRK
Rest of the world (S.2): Short term loans by other than UK MFIs (F.41N2): Flow: Liability: CP: £m: Not seasonally adjusted,FZRN
Financial corps except MFI and ICPF (S.124/5/6/7): Short term loans by other than UK MFIs (F.41N2): Flow: Asset: CP: £m: NSA,FZRQ
Financial corps except MFI and ICPF (S.124/5/6/7): Short term loans by other than UK MFIs (F.41N2): Flow: Liability: CP: £m: NSA,FZRS
Financial corps (S.12): Short term loans by other than UK MFIs (AF.41N2): Level: Asset: Current price: £m: Not seasonally adjusted,FZV9
Financial corps (S.12): Short term loans by other than UK MFIs (AF.41N2): Level: Liability: CP: £m: Not seasonally adjusted,FZVC
Financial corporations (S.12): Short term loans by other than UK MFIs (F.41N2): Flow: Asset: CP: £m: NSA,FZVF
Financial corporations (S.12): Short term loans by other than UK MFIs (F.41N2): Flow: Liability: CP: £m: NSA,FZVI
"ESA10: FA: Levels: PNFCs, Loans secured on dwellings, F.422, £M",G9JM
Non-Fin Corp (S11): Loans secured on dwellings (AF.422): Balance: Liability: Current price: £m: Not seasonally adjusted,G9JO
"ESA:PR:LI:FLOW:Loans secured on dwellings, F.422, £M",G9JQ
Non-Fin Corp (S11): Loans secured on dwellings (F.422): Flow: Liability: Current price: £million: Not seasonally adjusted,G9JS
04.2 Imputed rentals for housing CP SA £m,GBFJ
04.2 Imputed rentals for housing CVM NAYear SA £m,GBFK
Central govt: other capital receipts,GCMT
Whole economy: D2 less D3: pre-ESA95 factor cost adjustment: CP NSA,GCSC
ESA95 % change on previous quarter: Gross value added at basic prices,GDPQ
ESA95 % change on same quarter previous year: Gross value added at basic prices,GDPR
"Gross Fixed Capital Formation:Total Economy:Total New Dwellings,excluding land.1",GGAE
BoP FA Liabilities total other sectors flow NSA £m,GGCJ
BoP FA Net total MFIs flow NSA £m,GGCK
BoP FA Net total other sectors flow NSA £m,GGCL
Trade in Services(replaces 1.A.B) : Imports/Debits : Switzerland : nsa,GGPJ
Trade in Services(replaces 1.A.B) : Imports/Debits : Russia : nsa,GGPN
